treat,sp,term,estimate,std.error,statistic,p.value,sig
Moulting,Acrocephalus,vis_end,-3.5835336837270373,1.437645707153985,-2.4926403396154737,0.0126797211252862,TRUE
Moulting,Acrocephalus,ndvi_end,1.2194046678861816,2.3297418031021806,0.5234076438266578,0.600690606010591,FALSE
NonMoulting,Acrocephalus,vis_end,-5.459176049694685,0.8132958296743369,-6.712411216814759,1.9143428492290253e-11,TRUE
NonMoulting,Acrocephalus,ndvi_end,-0.0037631527660020175,1.1990591061065181,-0.0031384214062819674,0.9974959061253927,FALSE
Manipulated,Acrocephalus,vis_end,-16.78340816893182,5.3924509450837395,-3.1123895868228786,0.0018557941842471991,TRUE
Manipulated,Acrocephalus,ndvi_end,-3.0439296791677397,6.7725204015527165,-0.44945300991191794,0.6531048984511084,FALSE
Moulting,Passer,vis_end,-5.344333699606428,0.29028966006761375,-18.410348127320947,1.0852275812499618e-75,TRUE
Moulting,Passer,ndvi_end,-0.6878290120043135,0.34588278917117415,-1.9886187851454884,0.046743296343186955,TRUE
NonMoulting,Passer,vis_end,-6.683668713896573,0.669281339490773,-9.986336566595275,1.7492748507455185e-23,TRUE
NonMoulting,Passer,ndvi_end,0.4190245674779169,0.8166147160348034,0.5131239484790995,0.6078646203061642,FALSE
Manipulated,Passer,vis_end,-3.896875006337778,0.41220571153242574,-9.45371424343118,3.270161157366059e-21,TRUE
Manipulated,Passer,ndvi_end,-0.043505941136539654,0.6970592962323804,-0.06241354411552955,0.9502335093442159,FALSE
NonMoulting,Pycnonotus,vis_end,-8.271546632765086,1.703515519466893,-4.855574568145776,1.2003817114566255e-6,TRUE
NonMoulting,Pycnonotus,ndvi_end,-0.4529576538724304,1.5665360925150473,-0.28914600565966825,0.7724696489877645,FALSE
Moulting,Pycnonotus,vis_end,-5.01315920021716,0.5101015969908987,-9.827766134805113,8.549409202477804e-23,TRUE
Moulting,Pycnonotus,ndvi_end,0.9864026338812512,0.6745931702678268,1.4622185301544481,0.14368133536008562,FALSE
Manipulated,Pycnonotus,vis_end,-5.840734508096107,0.5623891381922911,-10.385574883025308,2.884263940028299e-25,TRUE
Manipulated,Pycnonotus,ndvi_end,-1.4710637148856485,0.8379186221890671,-1.7556164476240979,0.07915392188857658,FALSE
